=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.05.17 14:46:12 =~=~=~=~=~=~=~=~=~=~=~=
FL: 128 , FR: 204 , SL: 27 , SR: 593
FL: 124 , FR: 230 , SL: 31 , SR: 611
FL: 127 , FR: 206 , SL: 24 , SR: 612
FL: 124 , FR: 206 , SL: 27 , SR: 614
FL: 128 , FR: 209 , SL: 30 , SR: 613
FL: 125 , FR: 211 , SL: 27 , SR: 616
FL: 127 , FR: 206 , SL: 30 , SR: 609
FL: 128 , FR: 206 , SL: 26 , SR: 613
FL: 128 , FR: 206 , SL: 27 , SR: 514
FL: 128 , FR: 205 , SL: 23 , SR: 444
FL: 139 , FR: 205 , SL: 27 , SR: 445
FL: 128 , FR: 205 , SL: 23 , SR: 441
FL: 124 , FR: 205 , SL: 27 , SR: 429
FL: 128 , FR: 205 , SL: 27 , SR: 430
FL: 125 , FR: 206 , SL: 27 , SR: 430
FL: 123 , FR: 210 , SL: 26 , SR: 426
FL: 124 , FR: 210 , SL: 26 , SR: 426
FL: 124 , FR: 209 , SL: 23 , SR: 426
FL: 124 , FR: 209 , SL: 23 , SR: 426
FL: 123 , FR: 234 , SL: 27 , SR: 426
FL: 124 , FR: 210 , SL: 27 , SR: 425
FL: 124 , FR: 210 , SL: 58 , SR: 518
FL: 124 , FR: 210 , SL: 58 , SR: 561
FL: 123 , FR: 210 , SL: 57 , SR: 564
FL: 124 , FR: 209 , SL: 53 , SR: 564
FL: 125 , FR: 210 , SL: 27 , SR: 565
FL: 136 , FR: 210 , SL: 31 , SR: 564
FL: 123 , FR: 210 , SL: 23 , SR: 564
FL: 124 , FR: 210 , SL: 23 , SR: 564
FL: 124 , FR: 209 , SL: 26 , SR: 565
FL: 135 , FR: 209 , SL: 26 , SR: 564
FL: 124 , FR: 209 , SL: 26 , SR: 564
FL: 125 , FR: 209 , SL: 26 , SR: 563
FL: 128 , FR: 208 , SL: 27 , SR: 564
FL: 139 , FR: 233 , SL: 27 , SR: 564
FL: 128 , FR: 205 , SL: 27 , SR: 563
FL: 128 , FR: 207 , SL: 26 , SR: 564
FL: 128 , FR: 207 , SL: 22 , SR: 565
FL: 127 , FR: 206 , SL: 26 , SR: 564
FL: 128 , FR: 206 , SL: 26 , SR: 466
FL: 129 , FR: 209 , SL: 27 , SR: 404
FL: 139 , FR: 209 , SL: 27 , SR: 361
FL: 127 , FR: 208 , SL: 23 , SR: 361
FL: 128 , FR: 233 , SL: 27 , SR: 338
FL: 128 , FR: 209 , SL: 23 , SR: 361
FL: 139 , FR: 214 , SL: 27 , SR: 456
FL: 125 , FR: 218 , SL: 26 , SR: 549
FL: 128 , FR: 218 , SL: 26 , SR: 565
FL: 128 , FR: 218 , SL: 27 , SR: 568
FL: 127 , FR: 213 , SL: 23 , SR: 571
FL: 129 , FR: 213 , SL: 27 , SR: 571
FL: 128 , FR: 213 , SL: 27 , SR: 572
FL: 138 , FR: 238 , SL: 27 , SR: 572
FL: 129 , FR: 213 , SL: 243 , SR: 571
FL: 128 , FR: 213 , SL: 60 , SR: 575
FL: 138 , FR: 214 , SL: 95 , SR: 572
FL: 128 , FR: 214 , SL: 87 , SR: 572
FL: 129 , FR: 214 , SL: 55 , SR: 572
FL: 128 , FR: 213 , SL: 60 , SR: 571
FL: 127 , FR: 213 , SL: 48 , SR: 572
FL: 128 , FR: 217 , SL: 39 , SR: 572
FL: 129 , FR: 218 , SL: 26 , SR: 571
FL: 126 , FR: 213 , SL: 26 , SR: 560
FL: 128 , FR: 229 , SL: 22 , SR: 532
FL: 133 , FR: 230 , SL: 23 , SR: 533
FL: 139 , FR: 206 , SL: 27 , SR: 532
FL: 132 , FR: 202 , SL: 23 , SR: 506
FL: 132 , FR: 194 , SL: 27 , SR: 430
FL: 132 , FR: 195 , SL: 27 , SR: 437
FL: 127 , FR: 198 , SL: 27 , SR: 452
FL: 132 , FR: 194 , SL: 27 , SR: 448
FL: 133 , FR: 197 , SL: 27 , SR: 444
FL: 143 , FR: 197 , SL: 27 , SR: 448
FL: 136 , FR: 193 , SL: 27 , SR: 445
FL: 132 , FR: 197 , SL: 27 , SR: 445
FL: 143 , FR: 197 , SL: 27 , SR: 444
FL: 131 , FR: 217 , SL: 27 , SR: 443
FL: 132 , FR: 199 , SL: 26 , SR: 441
FL: 133 , FR: 195 , SL: 26 , SR: 418
FL: 132 , FR: 190 , SL: 27 , SR: 384
FL: 137 , FR: 183 , SL: 26 , SR: 357
FL: 136 , FR: 184 , SL: 23 , SR: 338
FL: 138 , FR: 179 , SL: 27 , SR: 319
FL: 140 , FR: 171 , SL: 27 , SR: 284
FL: 136 , FR: 166 , SL: 28 , SR: 264
FL: 129 , FR: 163 , SL: 27 , SR: 240
FL: 132 , FR: 159 , SL: 27 , SR: 229
FL: 132 , FR: 163 , SL: 59 , SR: 237
FL: 144 , FR: 164 , SL: 63 , SR: 236
FL: 132 , FR: 162 , SL: 30 , SR: 236
FL: 132 , FR: 162 , SL: 26 , SR: 236
FL: 132 , FR: 187 , SL: 23 , SR: 240
FL: 133 , FR: 187 , SL: 27 , SR: 236
FL: 132 , FR: 187 , SL: 31 , SR: 236
FL: 137 , FR: 163 , SL: 27 , SR: 232
FL: 131 , FR: 155 , SL: 31 , SR: 212
FL: 125 , FR: 139 , SL: 31 , SR: 164
FL: 124 , FR: 135 , SL: 32 , SR: 157
FL: 130 , FR: 135 , SL: 31 , SR: 157
FL: 120 , FR: 135 , SL: 26 , SR: 157
FL: 120 , FR: 135 , SL: 28 , SR: 158
FL: 130 , FR: 135 , SL: 31 , SR: 156
FL: 120 , FR: 135 , SL: 31 , SR: 156
FL: 120 , FR: 135 , SL: 27 , SR: 157
FL: 131 , FR: 135 , SL: 31 , SR: 157
FL: 119 , FR: 135 , SL: 31 , SR: 157
FL: 120 , FR: 135 , SL: 31 , SR: 157
FL: 124 , FR: 139 , SL: 27 , SR: 156
FL: 123 , FR: 139 , SL: 27 , SR: 157
